"temperature","Date"
27.818715043636,"03-04-2022"
27.0961125864787,"04-04-2022"
27.0270592115633,"05-04-2022"
29.5593043514527,"06-04-2022"
30.2459841078264,"07-04-2022"
24.0667186245322,"08-04-2022"
23.2055855912436,"09-04-2022"
21.4750000394881,"10-04-2022"
21.5205984389293,"11-04-2022"
19.1043459603004,"12-04-2022"
24.0120408502524,"13-04-2022"
27.106617244212,"14-04-2022"
23.9872937562922,"15-04-2022"
25.0589978182176,"16-04-2022"
30.0083143094089,"17-04-2022"
29.3595105336746,"18-04-2022"
30.3715648237057,"19-04-2022"
28.8852977156267,"20-04-2022"
29.5725351262372,"21-04-2022"
27.2890573689481,"22-04-2022"
18.6476680144202,"23-04-2022"
17.9507648327574,"24-04-2022"
22.4009636484832,"25-04-2022"
21.2540813737549,"26-04-2022"
20.558330569244,"27-04-2022"
23.9239778271318,"28-04-2022"
27.3395623198827,"29-04-2022"
23.8720273318072,"30-04-2022"
26.9437217200641,"01-05-2022"
22.7341762246378,"02-05-2022"
22.7996511505335,"03-05-2022"
23.7859341242211,"04-05-2022"
27.3409051448479,"05-05-2022"
29.6432788449572,"06-05-2022"
29.2447793242056,"07-05-2022"
24.9129100062372,"08-05-2022"
26.0797335860669,"09-05-2022"
19.3588787642051,"10-05-2022"
20.554356572947,"11-05-2022"
16.3339037422091,"12-05-2022"
22.3698087267345,"13-05-2022"
22.5390047869273,"14-05-2022"
26.3913802954578,"15-05-2022"
27.5186970863142,"16-05-2022"
26.9357394650113,"17-05-2022"
20.2241762844357,"18-05-2022"
11.5492102549667,"19-05-2022"
13.9720270444849,"20-05-2022"
15.2481556099188,"21-05-2022"
19.3975906240614,"22-05-2022"
23.8283349870471,"23-05-2022"
26.6661237683892,"24-05-2022"
30.6295537925791,"25-05-2022"
22.889292712938,"26-05-2022"
12.1588991883583,"27-05-2022"
14.7783407762321,"28-05-2022"
14.1940494961035,"29-05-2022"
19.4569550936809,"30-05-2022"
20.830280260616,"31-05-2022"
